,Player,Pos.,Team ▾,Total Value,APY,"Total
Guaranteed","Avg.
Guarantee/Year",% Guaranteed
,Evan McPherson,K,Bengals,"$16,500,000","$5,500,000","$5,000,000","$1,666,667",30.3%
,D.J. Turner,CB,Bengals,"$6,160,040","$1,540,010","$3,260,030","$815,008",52.9%
,Cam Taylor-Britt,CB,Bengals,"$5,952,730","$1,488,183","$3,189,835","$797,459",53.6%
,Joe Flacco,QB,Bengals,"$4,250,000","$4,250,000","$3,000,000","$3,000,000",70.6%
,Joseph Ossai,EDGE,Bengals,"$6,500,000","$6,500,000","$3,000,000","$3,000,000",46.2%
,Drew Sample,TE,Bengals,"$10,500,000","$3,500,000","$2,350,000","$783,333",22.4%
,Geno Stone,S,Bengals,"$4,900,000","$4,900,000","$1,500,000","$1,500,000",30.6%
,Dylan Fairchild,LG,Bengals,"$6,421,180","$1,605,295","$1,309,948","$327,487",20.4%
,Noah Fant,TE,Bengals,"$2,750,000","$2,750,000","$1,000,000","$1,000,000",36.4%
,Ted Karras,C,Bengals,"$5,000,000","$5,000,000","$1,000,000","$1,000,000",20.0%
,Cody Ford,RG,Bengals,"$6,000,000","$3,000,000","$1,000,000","$500,000",16.7%
,Barrett Carter,LB,Bengals,"$5,182,116","$1,295,529","$982,116","$245,529",19.0%
,McKinnley Jackson,IDL,Bengals,"$5,596,312","$1,399,078","$890,044","$222,511",15.9%
,Jordan Battle,S,Bengals,"$5,325,016","$1,331,254","$872,740","$218,185",16.4%
,Erick All,TE,Bengals,"$4,813,104","$1,203,276","$793,104","$198,276",16.5%
,Oren Burks,LB,Bengals,"$5,000,000","$2,500,000","$750,000","$375,000",15.0%
,Charlie Jones,WR,Bengals,"$4,518,776","$1,129,694","$678,776","$169,694",15.0%
,Cordell Volson,LG,Bengals,"$2,600,000","$2,600,000","$500,000","$500,000",19.2%
,Jalen Rivers,LT,Bengals,"$4,620,988","$1,155,247","$420,988","$105,247",9.1%
,Samaje Perine,RB,Bengals,"$3,600,000","$1,800,000","$400,000","$200,000",11.1%
,Josh Newton,CB,Bengals,"$4,357,276","$1,089,319","$337,276","$84,319",7.7%
,Tycen Anderson,S,Bengals,"$3,966,084","$991,521","$306,084","$76,521",7.7%
,Chase Brown,RB,Bengals,"$4,126,156","$1,031,539","$286,156","$71,539",6.9%
,Tahj Brooks,RB,Bengals,"$4,430,856","$1,107,714","$230,856","$57,714",5.2%
,Lucas Patrick,RG,Bengals,"$2,100,000","$2,100,000","$200,000","$200,000",9.5%
,Dalton Risner,LG,Bengals,"$1,337,500","$1,337,500","$167,500","$167,500",12.5%
,Andrei Iosivas,WR,Bengals,"$3,999,392","$999,848","$159,392","$39,848",4.0%
,Marco Wilson,CB,Bengals,"$1,520,000","$1,520,000","$150,000","$150,000",9.9%
,Cedric Johnson,EDGE,Bengals,"$4,158,388","$1,039,597","$138,388","$34,597",3.3%
,Daijahn Anthony,S,Bengals,"$4,137,784","$1,034,446","$117,784","$29,446",2.8%
,Matt Lee,C,Bengals,"$4,121,752","$1,030,438","$101,752","$25,438",2.5%
,Cameron Sample,EDGE,Bengals,"$1,267,500","$1,267,500","$100,000","$100,000",7.9%
,D.J. Ivey,CB,Bengals,"$3,920,656","$980,164","$80,656","$20,164",2.1%
,Tanner Hudson,TE,Bengals,"$1,350,000","$1,350,000","$50,000","$50,000",3.7%
,William Wagner,LS,Bengals,"$2,975,000","$991,667","$10,000","$3,333",0.3%
,Dohnte Meyers,WR,Bengals,"$3,110,000","$1,036,667","$10,000","$3,333",0.3%
,Jordan Jefferson,IDL,Bengals,$0,$0,$0,$0,0.0%
,Jalen Davis,CB,Bengals,$0,$0,$0,$0,0.0%
,Andrew Coker,LT,Bengals,"$885,000","$885,000",$0,$0,0.0%
,Jacob Bayer,C,Bengals,"$885,000","$885,000",$0,$0,0.0%
,Xavier Johnson,WR,Bengals,"$885,000","$885,000",$0,$0,0.0%
,Jalen Kimber,CB,Bengals,"$885,000","$885,000",$0,$0,0.0%
,Bralyn Lux,CB,Bengals,"$885,000","$885,000",$0,$0,0.0%
,Jordan Moore,WR,Bengals,"$885,000","$885,000",$0,$0,0.0%
,Antwaun Powell-Ryland,EDGE,Bengals,"$885,000","$885,000",$0,$0,0.0%
,Liam Anderson,LB,Bengals,"$1,005,000","$1,005,000",$0,$0,0.0%
,Sean Clifford,QB,Bengals,"$1,005,000","$1,005,000",$0,$0,0.0%
,Howard Cross III,IDL,Bengals,"$1,005,000","$1,005,000",$0,$0,0.0%
,Javon Foster,LT,Bengals,"$1,005,000","$1,005,000",$0,$0,0.0%
,P.J. Jules,S,Bengals,"$1,005,000","$1,005,000",$0,$0,0.0%
,Kendall Milton,RB,Bengals,"$1,005,000","$1,005,000",$0,$0,0.0%
,Shaka Heyward,LB,Bengals,"$1,075,000","$1,075,000",$0,$0,0.0%
,Mitchell Tinsley,WR,Bengals,"$1,075,000","$1,075,000",$0,$0,0.0%
,Cam Grandy,TE,Bengals,"$1,075,000","$1,075,000",$0,$0,0.0%
,Kendric Pryor,WR,Bengals,"$1,075,000","$1,075,000",$0,$0,0.0%
,Brian Asamoah,LB,Bengals,"$1,100,000","$1,100,000",$0,$0,0.0%
,Isaiah Foskey,EDGE,Bengals,"$1,145,000","$1,145,000",$0,$0,0.0%
,Gary Brightwell,RB,Bengals,"$1,145,000","$1,145,000",$0,$0,0.0%
,Russ Yeast,S,Bengals,"$1,145,000","$1,145,000",$0,$0,0.0%
,Joe Giles-Harris,LB,Bengals,"$1,235,000","$1,235,000",$0,$0,0.0%
,Ke'Shawn Williams,WR,Bengals,"$1,845,000","$922,500",$0,$0,0.0%
,Jake Browning,QB,Bengals,"$1,945,000","$972,500",$0,$0,0.0%
,Ryan Rehkow,P,Bengals,"$2,035,000","$1,017,500",$0,$0,0.0%
,Josh Allen,QB,Bills,"$330,000,000","$55,000,000","$147,000,000","$24,500,000",44.5%
,Gregory Rousseau,EDGE,Bills,"$80,000,000","$20,000,000","$49,000,000","$12,250,000",61.3%
,Dion Dawkins,LT,Bills,"$60,060,000","$20,020,000","$30,205,000","$10,068,333",50.3%
,Ed Oliver,IDL,Bills,"$68,000,000","$17,000,000","$24,528,000","$6,132,000",36.1%
,Spencer Brown,RT,Bills,"$72,000,000","$18,000,000","$19,855,000","$4,963,750",27.6%
,Christian Benford,CB,Bills,"$69,000,000","$17,250,000","$18,850,000","$4,712,500",27.3%
,Khalil Shakir,WR,Bills,"$53,000,000","$13,250,000","$18,100,000","$4,525,000",34.2%
,Taron Johnson,CB,Bills,"$30,750,000","$10,250,000","$16,650,000","$5,550,000",54.1%
,James Cook,RB,Bills,"$46,000,000","$11,500,000","$15,280,000","$3,820,000",33.2%
,Maxwell Hairston,CB,Bills,"$15,257,982","$3,814,496","$15,257,982","$3,814,496",100.0%
,Josh Palmer,WR,Bills,"$30,000,000","$10,000,000","$15,000,000","$5,000,000",50.0%
,Terrel Bernard,LB,Bills,"$42,000,000","$10,500,000","$14,100,000","$3,525,000",33.6%
,Curtis Samuel,WR,Bills,"$24,000,000","$8,000,000","$14,020,000","$4,673,333",58.4%
,Dalton Kincaid,TE,Bills,"$13,427,040","$3,356,760","$13,427,040","$3,356,760",100.0%
,Dawson Knox,TE,Bills,"$29,500,000","$9,833,333","$12,750,000","$4,250,000",43.2%
,Michael Hoecht,EDGE,Bills,"$21,000,000","$7,000,000","$12,430,000","$4,143,333",59.2%
